Time,Pack Amperage (Current)
Wed Oct 9 17:32:02 CST 2024,21.900000
Wed Oct 9 17:32:02 CST 2024,22.300000
Wed Oct 9 17:32:02 CST 2024,22.500000
Wed Oct 9 17:32:02 CST 2024,22.200000
Wed Oct 9 17:32:02 CST 2024,22.900000
Wed Oct 9 17:32:03 CST 2024,22.200000
Wed Oct 9 17:32:03 CST 2024,17.600000
Wed Oct 9 17:32:03 CST 2024,12.500000
Wed Oct 9 17:32:03 CST 2024,-0.700000
Wed Oct 9 17:32:03 CST 2024,-10.000000
Wed Oct 9 17:32:03 CST 2024,-17.900000
Wed Oct 9 17:32:03 CST 2024,-27.700000
Wed Oct 9 17:32:03 CST 2024,-38.700000
Wed Oct 9 17:32:03 CST 2024,-7.300000
Wed Oct 9 17:32:03 CST 2024,0.000000
Wed Oct 9 17:32:04 CST 2024,-0.700000
Wed Oct 9 17:32:04 CST 2024,-1.600000
Wed Oct 9 17:32:04 CST 2024,-1.100000
Wed Oct 9 17:32:04 CST 2024,-1.000000
Wed Oct 9 17:32:04 CST 2024,0.000000
Wed Oct 9 17:32:04 CST 2024,0.700000
Wed Oct 9 17:32:04 CST 2024,0.600000
Wed Oct 9 17:32:04 CST 2024,-0.200000
Wed Oct 9 17:32:04 CST 2024,0.100000
Wed Oct 9 17:32:04 CST 2024,0.000000
Wed Oct 9 17:32:05 CST 2024,-0.100000
Wed Oct 9 17:32:05 CST 2024,-0.100000
Wed Oct 9 17:32:05 CST 2024,0.100000
Wed Oct 9 17:32:05 CST 2024,0.700000
Wed Oct 9 17:32:05 CST 2024,0.800000
Wed Oct 9 17:32:05 CST 2024,0.000000
Wed Oct 9 17:32:05 CST 2024,0.000000
Wed Oct 9 17:32:05 CST 2024,0.000000
Wed Oct 9 17:32:05 CST 2024,0.400000
Wed Oct 9 17:32:05 CST 2024,0.100000
Wed Oct 9 17:32:06 CST 2024,0.000000
Wed Oct 9 17:32:06 CST 2024,0.100000
Wed Oct 9 17:32:06 CST 2024,0.000000
Wed Oct 9 17:32:06 CST 2024,0.500000
Wed Oct 9 17:32:06 CST 2024,0.600000
Wed Oct 9 17:32:06 CST 2024,0.000000
Wed Oct 9 17:32:06 CST 2024,0.000000
Wed Oct 9 17:32:06 CST 2024,0.500000
Wed Oct 9 17:32:06 CST 2024,0.200000
Wed Oct 9 17:32:06 CST 2024,0.100000
Wed Oct 9 17:32:07 CST 2024,0.300000
Wed Oct 9 17:32:07 CST 2024,0.300000
Wed Oct 9 17:32:07 CST 2024,0.200000
Wed Oct 9 17:32:07 CST 2024,0.200000
Wed Oct 9 17:32:07 CST 2024,0.500000
Wed Oct 9 17:32:07 CST 2024,0.200000
Wed Oct 9 17:32:07 CST 2024,0.700000
Wed Oct 9 17:32:07 CST 2024,0.400000
Wed Oct 9 17:32:07 CST 2024,0.300000
Wed Oct 9 17:32:07 CST 2024,0.400000
Wed Oct 9 17:32:08 CST 2024,0.700000
Wed Oct 9 17:32:08 CST 2024,0.500000
Wed Oct 9 17:32:08 CST 2024,0.500000
Wed Oct 9 17:32:08 CST 2024,0.500000
Wed Oct 9 17:32:08 CST 2024,0.400000
Wed Oct 9 17:32:08 CST 2024,0.400000
Wed Oct 9 17:32:08 CST 2024,0.500000
Wed Oct 9 17:32:08 CST 2024,0.500000
Wed Oct 9 17:32:08 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.600000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.600000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.400000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:09 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:10 CST 2024,0.600000
Wed Oct 9 17:32:10 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.600000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:11 CST 2024,0.600000
Wed Oct 9 17:32:11 CST 2024,0.500000
Wed Oct 9 17:32:12 CST 2024,0.500000
Wed Oct 9 17:32:12 CST 2024,0.500000
Wed Oct 9 17:32:12 CST 2024,0.500000
